OID,STATEFP,COUNTYFP,COUSUBFP,GNISNAME,SHORTNAME,COUNTY,TOWNGEOID,RPC,GEOID
-1,50,11,25225,Town of Fairfield,Fairfield,Franklin,5001125225,NW,06000US5001125225
-1,50,21,25375,Town of Fair Haven,Fair Haven,Rutland,5002125375,RR,06000US5002125375
-1,50,17,25675,Town of Fairlee,Fairlee,Orange,5001725675,TR,06000US5001725675
-1,50,23,25825,Town of Fayston,Fayston,Washington,5002325825,CV,06000US5002325825
-1,50,9,25975,Town of Ferdinand,Ferdinand,Essex,5000925975,NV,06000US5000925975
-1,50,1,26300,Town of Ferrisburgh,Ferrisburgh,Addison,5000126300,AC,06000US5000126300
-1,50,11,26500,Town of Fletcher,Fletcher,Franklin,5001126500,NW,06000US5001126500
-1,50,11,27100,Town of Franklin,Franklin,Franklin,5001127100,NW,06000US5001127100
-1,50,11,27700,Town of Georgia,Georgia,Franklin,5001127700,NW,06000US5001127700
-1,50,3,27962,Town of Glastenbury,Glastenbury,Bennington,5000327962,BC,06000US5000327962
-1,50,19,28075,Town of Glover,Glover,Orleans,5001928075,NV,06000US5001928075
-1,50,1,28600,Town of Goshen,Goshen,Addison,5000128600,AC,06000US5000128600
-1,50,25,28900,Town of Grafton,Grafton,Windham,5002528900,WR,06000US5002528900
-1,50,9,29125,Town of Granby,Granby,Essex,5000929125,NV,06000US5000929125
-1,50,13,29275,Town of Grand Isle,Grand Isle,Grand Isle,5001329275,NW,06000US5001329275
-1,50,1,29575,Town of Granville,Granville,Addison,5000129575,TR,06000US5000129575
-1,50,19,30175,Town of Greensboro,Greensboro,Orleans,5001930175,NV,06000US5001930175
-1,50,5,30550,Town of Groton,Groton,Caledonia,5000530550,NV,06000US5000530550
-1,50,9,30775,Town of Guildhall,Guildhall,Essex,5000930775,NV,06000US5000930775
-1,50,25,30925,Town of Guilford,Guilford,Windham,5002530925,WR,06000US5002530925
-1,50,25,31150,Town of Halifax,Halifax,Windham,5002531150,WR,06000US5002531150
-1,50,1,31525,Town of Hancock,Hancock,Addison,5000131525,TR,06000US5000131525
-1,50,5,31825,Town of Hardwick,Hardwick,Caledonia,5000531825,NV,06000US5000531825
-1,50,27,32275,Town of Hartford,Hartford,Windsor,5002732275,UV,06000US5002732275
-1,50,27,32425,Town of Hartland,Hartland,Windsor,5002732425,UV,06000US5002732425
-1,50,11,33025,Town of Highgate,Highgate,Franklin,5001133025,NW,06000US5001133025
-1,50,7,33475,Town of Hinesburg,Hinesburg,Chittenden,5000733475,CC,06000US5000733475
-1,50,21,34450,Town of Hubbardton,Hubbardton,Rutland,5002134450,RR,06000US5002134450
-1,50,7,34600,Town of Huntington,Huntington,Chittenden,5000734600,CC,06000US5000734600
-1,50,15,35050,Town of Hyde Park,Hyde Park,Lamoille,5001535050,LC,06000US5001535050
-1,50,21,35425,Town of Ira,Ira,Rutland,5002135425,RR,06000US5002135425
-1,50,19,35575,Town of Irasburg,Irasburg,Orleans,5001935575,NV,06000US5001935575
-1,50,13,35875,Town of Isle La Motte,Isle La Motte,Grand Isle,5001335875,NW,06000US5001335875
-1,50,25,36175,Town of Jamaica,Jamaica,Windham,5002536175,WR,06000US5002536175
-1,50,19,36325,Town of Jay,Jay,Orleans,5001936325,NV,06000US5001936325
-1,50,7,36700,Town of Jericho,Jericho,Chittenden,5000736700,CC,06000US5000736700
-1,50,15,37075,Town of Johnson,Johnson,Lamoille,5001537075,LC,06000US5001537075
-1,50,5,37900,Town of Kirby,Kirby,Caledonia,5000537900,NV,06000US5000537900
-1,50,3,39025,Town of Landgrove,Landgrove,Bennington,5000339025,BC,06000US5000339025
-1,50,1,39325,Town of Leicester,Leicester,Addison,5000139325,AC,06000US5000139325
-1,50,9,39700,Town of Lemington,Lemington,Essex,5000939700,NV,06000US5000939700
-1,50,9,39775,Town of Lewis,Lewis,Essex,5000939775,NV,06000US5000939775
-1,50,1,40075,Town of Lincoln,Lincoln,Addison,5000140075,AC,06000US5000140075
-1,50,25,40225,Town of Londonderry,Londonderry,Windham,5002540225,WR,06000US5002540225
-1,50,19,40525,Town of Lowell,Lowell,Orleans,5001940525,NV,06000US5001940525
-1,50,27,41275,Town of Ludlow,Ludlow,Windsor,5002741275,SW,06000US5002741275
-1,50,9,41425,Town of Lunenburg,Lunenburg,Essex,5000941425,NV,06000US5000941425
-1,50,5,41725,Town of Lyndon,Lyndon,Caledonia,5000541725,NV,06000US5000541725
-1,50,9,42475,Town of Maidstone,Maidstone,Essex,5000942475,NV,06000US5000942475
-1,50,3,42850,Town of Manchester,Manchester,Bennington,5000342850,BC,06000US5000342850
-1,50,25,43375,Town of Marlboro,Marlboro,Windham,5002543375,WR,06000US5002543375
-1,50,23,43600,Town of Marshfield,Marshfield,Washington,5002343600,CV,06000US5002343600
-1,50,21,44125,Town of Mendon,Mendon,Rutland,5002144125,RR,06000US5002144125
-1,50,1,44350,Town of Middlebury,Middlebury,Addison,5000144350,AC,06000US5000144350
-1,50,23,44500,Town of Middlesex,Middlesex,Washington,5002344500,CV,06000US5002344500
-1,50,21,44800,Town of Middletown Springs,Middletown Springs,Rutland,5002144800,RR,06000US5002144800
-1,50,7,45250,Town of Milton,Milton,Chittenden,5000745250,CC,06000US5000745250
-1,50,1,45550,Town of Monkton,Monkton,Addison,5000145550,AC,06000US5000145550
-1,50,11,45850,Town of Montgomery,Montgomery,Franklin,5001145850,NW,06000US5001145850
-1,50,23,46000,City of Montpelier,Montpelier,Washington,5002346000,CV,06000US5002346000
-1,50,23,46225,Town of Moretown,Moretown,Washington,5002346225,CV,06000US5002346225
-1,50,15,46675,Town of Morristown,Morristown,Lamoille,5001546675,LC,06000US5001546675
-1,50,21,47200,Town of Mount Holly,Mount Holly,Rutland,5002147200,RR,06000US5002147200
-1,50,21,47425,Town of Mount Tabor,Mount Tabor,Rutland,5002147425,RR,06000US5002147425
-1,50,5,47725,Town of Newark,Newark,Caledonia,5000547725,NV,06000US5000547725
-1,50,17,48175,Town of Newbury,Newbury,Orange,5001748175,TR,06000US5001748175
-1,50,25,48400,Town of Newfane,Newfane,Windham,5002548400,WR,06000US5002548400
-1,50,1,48700,Town of New Haven,New Haven,Addison,5000148700,AC,06000US5000148700
-1,50,19,48850,City of Newport,Newport City,Orleans,5001948850,NV,06000US5001948850
-1,50,19,48925,Town of Newport,Newport Town,Orleans,5001948925,NV,06000US5001948925
-1,50,23,50275,Town of Northfield,Northfield,Washington,5002350275,CV,06000US5002350275
-1,50,13,50650,Town of North Hero,North Hero,Grand Isle,5001350650,NW,06000US5001350650
-1,50,9,52750,Town of Norton,Norton,Essex,5000952750,NV,06000US5000952750
-1,50,27,52900,Town of Norwich,Norwich,Windsor,5002752900,UV,06000US5002752900
-1,50,17,53425,Town of Orange,Orange,Orange,5001753425,CV,06000US5001753425
-1,50,1,53725,Town of Orwell,Orwell,Addison,5000153725,AC,06000US5000153725
-1,50,1,53950,Town of Panton,Panton,Addison,5000153950,AC,06000US5000153950
-1,50,21,54250,Town of Pawlet,Pawlet,Rutland,5002154250,RR,06000US5002154250
